word,language,sumvalue,weight,sentivalue
asento,cebuano,Not Found,N/A,N/A
asento,tagalog,0.4637,0.635586,-0.135586
asero,tagalog,-0.1244,0.565723,-0.065723
asesino,tagalog,0.0419,0.585479,-0.585479
asesment,tagalog,Not Found,N/A,N/A
asesor,tagalog,-0.2483,0.551004,-0.051004
asetik,tagalog,-0.7607,0.490134,0.009866
asetiko,tagalog,-0.6165,0.507264,-0.007264
asetilen,tagalog,Not Found,N/A,N/A
asetileno,tagalog,Not Found,N/A,N/A
asetisismo,tagalog,-0.0133,0.578921,-0.078921
aseyte,tagalog,Not Found,N/A,N/A
aseytedekastor,tagalog,Not Found,N/A,N/A
asgad,cebuano,Not Found,N/A,N/A
asi,cebuano,-0.0405,0.27732,-0.27732
asia,tagalog,0.2173,0.606315,-0.106315
asian,tagalog,-0.0886,0.569976,-0.069976
asiano,tagalog,-0.5675,0.513085,-0.013085
asid,tagalog,-0.3539,0.53846,-0.03846
asido,cebuano,0.3239,0.296311,0.203689
asido,tagalog,-1.2024,0.437663,0.062337
asidu,cebuano,Not Found,N/A,N/A
asignasyon,tagalog,Not Found,N/A,N/A
asignatura,tagalog,0.2964,0.615712,-0.115712
asikaso,tagalog,-0.7816,0.487651,0.012349
asikasu,cebuano,Not Found,N/A,N/A
asikasuhin,tagalog,0.2728,0.612908,-0.112908
asikasuhin,tagalog,0.2728,0.612908,-0.112908
asikot,tagalog,Not Found,N/A,N/A
asikutero,tagalog,Not Found,N/A,N/A
asilada,cebuano,Not Found,N/A,N/A
asilo,cebuano,Not Found,N/A,N/A
asilo,tagalog,1.0888,0.709844,-0.209844
asilu,cebuano,Not Found,N/A,N/A
asim,tagalog,-1.3813,0.41641,0.08359
asiman,cebuano,Not Found,N/A,N/A
asiman,tagalog,Not Found,N/A,N/A
asin,cebuano,2.9983,0.435693,-0.435693
asin,tagalog,0.0354,0.584706,-0.584706
asinan,tagalog,-0.527,0.517896,-0.017896
asinan,tagalog,-0.527,0.517896,-0.017896
asinasin,cebuano,Not Found,N/A,N/A
asinbato,tagalog,Not Found,N/A,N/A
asinda,cebuano,Not Found,N/A,N/A
asingbato,tagalog,Not Found,N/A,N/A
asinon,cebuano,Not Found,N/A,N/A
asinorya,tagalog,-0.5132,0.519536,-0.019536
asinsiyun,cebuano,Not Found,N/A,N/A
asinsu,cebuano,Not Found,N/A,N/A
asintado,tagalog,-0.6633,0.501705,-0.001705
asintador,cebuano,Not Found,N/A,N/A
asintahin,tagalog,-0.2948,0.54548,-0.04548
asir,cebuano,0.391,0.299808,0.299808
asiras,cebuano,Not Found,N/A,N/A
asiras,cebuano,Not Found,N/A,N/A
asiras,cebuano,Not Found,N/A,N/A
asirawu,cebuano,Not Found,N/A,N/A
asiro,cebuano,Not Found,N/A,N/A
asiru,cebuano,Not Found,N/A,N/A
asiruhon,cebuano,Not Found,N/A,N/A
asistensiya,tagalog,Not Found,N/A,N/A
asistensya,tagalog,Not Found,N/A,N/A
asistente,tagalog,0.3247,0.619074,-0.119074
asistihan,tagalog,0.138,0.596895,-0.096895
asistinsiya,cebuano,Not Found,N/A,N/A
asistir,cebuano,Not Found,N/A,N/A
asiti,cebuano,Not Found,N/A,N/A
asitira,cebuano,Not Found,N/A,N/A
asitun,cebuano,Not Found,N/A,N/A
asiwa,tagalog,-0.6395,0.504532,-0.504532
asiwa,tagalog,-0.6395,0.504532,-0.504532
askad,tagalog,0.0502,0.586465,-0.086465
askarid,tagalog,Not Found,N/A,N/A
askarides,tagalog,Not Found,N/A,N/A
askaris,tagalog,-0.9669,0.465639,0.034361
aslay,cebuano,Not Found,N/A,N/A
aslom,cebuano,0.5071,0.305859,-0.305859
aslum,cebuano,Not Found,N/A,N/A
asma,tagalog,-0.4687,0.524822,-0.024822
asmahin,tagalog,Not Found,N/A,N/A
asmatika,tagalog,Not Found,N/A,N/A
asmatiko,tagalog,Not Found,N/A,N/A
asnan,tagalog,Not Found,N/A,N/A
asnat,cebuano,Not Found,N/A,N/A
asngal,tagalog,Not Found,N/A,N/A
asngaw,tagalog,-0.2955,0.545397,-0.545397
asno,cebuano,0.4231,0.301481,0.198519
asno,tagalog,0.4584,0.634956,-0.134956
asnu,cebuano,Not Found,N/A,N/A
aso,cebuano,1.4392,0.354437,-0.354437
aso,tagalog,-1.9167,0.352808,-0.352808
aso,tagalog,-1.9167,0.352808,-0.352808
asoasohon,cebuano,Not Found,N/A,N/A
asod,tagalog,Not Found,N/A,N/A
asog,tagalog,-0.3713,0.536393,-0.036393
asoge,cebuano,Not Found,N/A,N/A
asoge,cebuano,Not Found,N/A,N/A
asoge,tagalog,-0.3722,0.536286,-0.036286
asong babae,tagalog,Not Found,N/A,N/A
asong baliw,tagalog,Not Found,N/A,N/A
asong bantay,cebuano,Not Found,N/A,N/A
asong pangaso,tagalog,Not Found,N/A,N/A
asong punggi,tagalog,Not Found,N/A,N/A
asong tagapagbantay,tagalog,Not Found,N/A,N/A
asong ulol,tagalog,Not Found,N/A,N/A
asosasyon,tagalog,0.2382,0.608798,-0.108798
asosyasiyon,tagalog,Not Found,N/A,N/A
asosyasyon,tagalog,Not Found,N/A,N/A
asotea,tagalog,-0.3061,0.544138,-0.044138
asoy,cebuano,0.9701,0.329989,0.170011
asoy,cebuano,0.9701,0.329989,0.170011
asoy,cebuano,0.9701,0.329989,0.170011
asoy,cebuano,0.9701,0.329989,0.170011
asoy,cebuano,0.9701,0.329989,0.170011
asoy,cebuano,0.9701,0.329989,0.170011
asoy,cebuano,0.9701,0.329989,0.170011
asoy,cebuano,0.9701,0.329989,0.170011
asoy,cebuano,0.9701,0.329989,0.170011
asoy sa kinuti,cebuano,Not Found,N/A,N/A
asoyasoy,cebuano,Not Found,N/A,N/A
aspaltado,tagalog,-0.1975,0.557039,-0.057039
aspalto,cebuano,Not Found,N/A,N/A
aspalto,tagalog,-0.7554,0.490764,0.009236
aspaltu,cebuano,Not Found,N/A,N/A
aspaltuhan,tagalog,Not Found,N/A,N/A
aspaltuhin,tagalog,Not Found,N/A,N/A
asparago,tagalog,Not Found,N/A,N/A
asparagus,cebuano,Not Found,N/A,N/A
asparagus,tagalog,-0.7539,0.490942,0.490942
aspiksiya,tagalog,Not Found,N/A,N/A
aspiksya,tagalog,Not Found,N/A,N/A
aspile,tagalog,0.2001,0.604272,-0.104272
aspili,tagalog,0.2905,0.615011,-0.115011
aspilihan,tagalog,-0.2155,0.554901,-0.054901
aspilihan,tagalog,-0.2155,0.554901,-0.054901
aspira ultima,cebuano,Not Found,N/A,N/A
aspirante,tagalog,0.0973,0.59206,-0.09206
aspiranti,cebuano,Not Found,N/A,N/A
aspirasiyun,cebuano,Not Found,N/A,N/A
aspirin,tagalog,-0.7811,0.487711,0.012289
aspirin aspirina,cebuano,Not Found,N/A,N/A
aspirina,cebuano,Not Found,N/A,N/A
aspirina,tagalog,-0.4586,0.526022,-0.026022
asta,cebuano,-0.8632,0.234443,0.265557
asta,tagalog,-0.0636,0.572946,-0.072946
astaka,tagalog,Not Found,N/A,N/A
astaka,tagalog,Not Found,N/A,N/A
astatin,tagalog,Not Found,N/A,N/A
asterisk,tagalog,-0.3575,0.538032,-0.038032
asterisko,tagalog,-0.0105,0.579254,-0.079254
astri,cebuano,Not Found,N/A,N/A
astrologo,tagalog,0.1489,0.59819,-0.09819
astrolohia,tagalog,Not Found,N/A,N/A
astrolohiya,tagalog,0.2293,0.607741,-0.107741
astronaut,tagalog,0.9468,0.692976,-0.192976
astronomer,tagalog,-0.2733,0.548035,-0.048035
astronomia,tagalog,-0.0153,0.578684,-0.078684
astronomiya,cebuano,0.1249,0.28594,0.21406
astronomiya,tagalog,-0.2432,0.55161,-0.05161
astronomo,tagalog,-0.0518,0.574348,-0.074348
astronomya,tagalog,Not Found,N/A,N/A
astropobya,tagalog,Not Found,N/A,N/A
astrunawta,cebuano,Not Found,N/A,N/A
astrunumiya,cebuano,Not Found,N/A,N/A
astrunumu,cebuano,Not Found,N/A,N/A
astrunut,cebuano,Not Found,N/A,N/A
asu,cebuano,Not Found,N/A,N/A
asuang,tagalog,-0.1911,0.557799,-0.557799
asuangin,tagalog,Not Found,N/A,N/A
asud,cebuano,Not Found,N/A,N/A
asugan,tagalog,Not Found,N/A,N/A
asugi,cebuano,Not Found,N/A,N/A
asuhin,tagalog,Not Found,N/A,N/A
asuhon,cebuano,Not Found,N/A,N/A
asuhos,tagalog,0.016,0.582402,-0.082402
asukal,cebuano,Not Found,N/A,N/A
asukal,cebuano,Not Found,N/A,N/A
asukal,tagalog,-1.3229,0.423348,0.076652
asukalan,tagalog,-0.085,0.570404,0.570404
asukalan,tagalog,-0.085,0.570404,0.570404
asukalin,tagalog,Not Found,N/A,N/A
asukar,cebuano,0.6753,0.314625,0.185375
asukar,cebuano,0.6753,0.314625,0.314625
asukarera,tagalog,-0.3814,0.535193,-0.035193
asukarero,tagalog,Not Found,N/A,N/A
asul,cebuano,0.9208,0.32742,0.17258
asul,cebuano,0.9208,0.32742,0.17258
asul,tagalog,-0.8108,0.484183,0.015817
asuleho,tagalog,Not Found,N/A,N/A
asulmarino,tagalog,Not Found,N/A,N/A
asunsiyon,tagalog,Not Found,N/A,N/A
asunting,cebuano,Not Found,N/A,N/A
asunto,cebuano,Not Found,N/A,N/A
asunto,tagalog,0.6561,0.658442,-0.158442
asuntu,cebuano,Not Found,N/A,N/A
asuos,tagalog,Not Found,N/A,N/A
asupli,cebuano,Not Found,N/A,N/A
asupre,cebuano,0.8101,0.32165,0.17835
asupre,tagalog,-0.5399,0.516364,-0.016364
asupri,cebuano,0.2106,0.290406,0.209594
asuran,tagalog,Not Found,N/A,N/A
asurin,tagalog,Not Found,N/A,N/A
asus,cebuano,Not Found,N/A,N/A
asusasiyun,cebuano,Not Found,N/A,N/A
asusena,tagalog,-0.0447,0.575191,-0.075191
asusiluy,cebuano,Not Found,N/A,N/A
asusina,cebuano,Not Found,N/A,N/A
asusinas,cebuano,Not Found,N/A,N/A
asusisyun,cebuano,Not Found,N/A,N/A
asusyit,cebuano,Not Found,N/A,N/A
asutiya,cebuano,Not Found,N/A,N/A
asuus,cebuano,Not Found,N/A,N/A
asuwang,tagalog,0.3536,0.622507,-0.622507
asuy,cebuano,Not Found,N/A,N/A
aswang,cebuano,Not Found,N/A,N/A
aswang,cebuano,Not Found,N/A,N/A
aswang,tagalog,-0.3725,0.53625,-0.53625
aswangin,tagalog,-0.1743,0.559795,-0.059795
aswas,cebuano,Not Found,N/A,N/A
aswat,cebuano,Not Found,N/A,N/A
aswela,tagalog,Not Found,N/A,N/A
asya,cebuano,Not Found,N/A,N/A
asya,cebuano,Not Found,N/A,N/A
asya,tagalog,1.327,0.738141,-0.238141
asyan,tagalog,Not Found,N/A,N/A
asyano,tagalog,0.4116,0.629397,-0.129397
asyenda,cebuano,Not Found,N/A,N/A
asyenda,tagalog,-0.5616,0.513786,-0.013786
asyinda,cebuano,Not Found,N/A,N/A
asyiti,cebuano,Not Found,N/A,N/A
asyus,cebuano,Not Found,N/A,N/A
asyusa,cebuano,Not Found,N/A,N/A
asyusu,cebuano,Not Found,N/A,N/A
asyutis,cebuano,Not Found,N/A,N/A
at,cebuano,-1.8129,0.184948,0.315052
at,tagalog,-0.6141,0.507549,-0.007549
at iba pa,tagalog,Not Found,N/A,N/A
at iba pang gaya nito,tagalog,Not Found,N/A,N/A
at saka,tagalog,Not Found,N/A,N/A
ata,cebuano,0.6126,0.311357,0.188643
ata,tagalog,-1.3717,0.417551,0.082449
atab,cebuano,Not Found,N/A,N/A
atab,cebuano,Not Found,N/A,N/A
atabay,cebuano,1.4458,0.354781,0.354781
atabay,cebuano,1.4458,0.354781,0.354781
atad,cebuano,Not Found,N/A,N/A
atado,tagalog,Not Found,N/A,N/A
atadu,cebuano,Not Found,N/A,N/A
atag,tagalog,0.0374,0.584944,0.584944
atahu,cebuano,Not Found,N/A,N/A
atak,cebuano,-1.5077,0.200854,-0.200854
atakar,cebuano,Not Found,N/A,N/A
atake,tagalog,1.8857,0.804512,-0.804512
atake personal,tagalog,Not Found,N/A,N/A
atake sa puso,tagalog,Not Found,N/A,N/A
atake serebral,tagalog,Not Found,N/A,N/A
ataki,cebuano,Not Found,N/A,N/A
ataki,cebuano,Not Found,N/A,N/A
ataki,cebuano,Not Found,N/A,N/A
ataki,cebuano,Not Found,N/A,N/A
ataki sa sakit,cebuano,Not Found,N/A,N/A
atakihan,tagalog,Not Found,N/A,N/A
atakihin,tagalog,0.6607,0.658989,-0.658989
atalon,tagalog,Not Found,N/A,N/A
ataman,cebuano,Not Found,N/A,N/A
atang,cebuano,Not Found,N/A,N/A
atang,cebuano,Not Found,N/A,N/A
atang,tagalog,0.3533,0.622471,0.622471
atangan,tagalog,-0.0678,0.572447,-0.072447
atangatang,tagalog,0.1624,0.599793,-0.099793
atangya,tagalog,Not Found,N/A,N/A
ataru,cebuano,Not Found,N/A,N/A
atas,cebuano,Not Found,N/A,N/A
atas,tagalog,-1.871,0.358237,0.141763
atas,tagalog,-1.871,0.358237,0.141763
atasan,tagalog,0.3197,0.61848,-0.61848
atat,cebuano,Not Found,N/A,N/A
atat,cebuano,Not Found,N/A,N/A
atatalu,cebuano,Not Found,N/A,N/A
ataud,tagalog,-0.063,0.573017,-0.073017
ataul,tagalog,-0.3926,0.533862,-0.033862
atay,cebuano,1.396,0.352186,0.147814
atay,cebuano,1.396,0.352186,0.147814
atay,cebuano,1.396,0.352186,0.147814
atay,cebuano,1.396,0.352186,-0.352186
atay,tagalog,-0.6761,0.500184,-0.000184
atay,tagalog,-0.6761,0.500184,-0.000184
atayatay,cebuano,Not Found,N/A,N/A
atayatay,tagalog,Not Found,N/A,N/A
atb atbp,tagalog,Not Found,N/A,N/A
atbang,cebuano,-0.2933,0.264145,0.264145
atbu,cebuano,Not Found,N/A,N/A
atbug,cebuano,Not Found,N/A,N/A
ate,tagalog,-2.9697,0.227717,0.272283
ateismo,tagalog,1.1253,0.71418,-0.21418
ateista,tagalog,0.3854,0.626284,-0.126284
atensiyon,tagalog,0.3037,0.616579,-0.116579
atensyon,tagalog,0.2615,0.611566,-0.111566
atento,tagalog,Not Found,N/A,N/A
ateo,cebuano,Not Found,N/A,N/A
ateo,tagalog,0.0817,0.590207,-0.090207
athag,cebuano,Not Found,N/A,N/A
ati,tagalog,0.6756,0.660759,-0.160759
atibas,cebuano,Not Found,N/A,N/A
atig,tagalog,0.4858,0.638211,0.638211
atik,cebuano,Not Found,N/A,N/A
atik,tagalog,-0.7479,0.491655,0.008345
atik,tagalog,-0.7479,0.491655,0.008345
atikabo,tagalog,Not Found,N/A,N/A
atikha,tagalog,Not Found,N/A,N/A
atikhain,tagalog,Not Found,N/A,N/A
atim,tagalog,Not Found,N/A,N/A
atiman,cebuano,Not Found,N/A,N/A
atimana ang bata,cebuano,Not Found,N/A,N/A
atimin,tagalog,Not Found,N/A,N/A
atimuya,cebuano,Not Found,N/A,N/A
atin,cebuano,Not Found,N/A,N/A
atin,tagalog,0.4824,0.637808,-0.137808
atindan atindant,cebuano,Not Found,N/A,N/A
atinde,tagalog,Not Found,N/A,N/A
atindi,tagalog,Not Found,N/A,N/A
atindida,cebuano,Not Found,N/A,N/A
atindidu,cebuano,Not Found,N/A,N/A
atindihin,tagalog,Not Found,N/A,N/A
atindir,cebuano,Not Found,N/A,N/A
atinsiyun,cebuano,Not Found,N/A,N/A
atip,cebuano,Not Found,N/A,N/A
atip,tagalog,0.051,0.58656,-0.08656
atipu atipulu,cebuano,Not Found,N/A,N/A
atis,cebuano,-0.5556,0.250474,0.249526
atis,cebuano,-0.5556,0.250474,0.250474
atis,tagalog,-1.2097,0.436795,0.063205
atitud,tagalog,Not Found,N/A,N/A
atlantik,tagalog,Not Found,N/A,N/A
atlantiko,cebuano,Not Found,N/A,N/A
atlantiko,tagalog,0.4762,0.637071,-0.137071
atlas,tagalog,0.2445,0.609546,-0.109546
atleta,tagalog,-2.1582,0.324119,0.175881
atletiks,tagalog,-0.3658,0.537046,-0.037046
atlita,cebuano,Not Found,N/A,N/A
atmospera,tagalog,-0.0436,0.575322,-0.075322
atmuspira,cebuano,Not Found,N/A,N/A
atnga atngal,cebuano,Not Found,N/A,N/A
atngal,cebuano,Not Found,N/A,N/A
atngal sa tutoy,cebuano,Not Found,N/A,N/A
atngaw,cebuano,Not Found,N/A,N/A
ato,cebuano,1.7187,0.369004,0.130996
ato,cebuano,1.7187,0.369004,0.130996
ato,cebuano,1.7187,0.369004,0.130996
ato,cebuano,1.7187,0.369004,0.130996
ato,tagalog,-0.4204,0.53056,-0.03056
ato,tagalog,-0.4204,0.53056,-0.03056
ato na,cebuano,Not Found,N/A,N/A
atoato,cebuano,Not Found,N/A,N/A
atol,cebuano,1.1165,0.337619,0.162381
atol,cebuano,1.1165,0.337619,0.162381
atole,tagalog,0.6409,0.656636,-0.156636
atom,tagalog,0.8827,0.685361,-0.185361
atomik,tagalog,-0.5003,0.521068,-0.021068
atomika,tagalog,-0.7984,0.485656,0.014344
atomo,tagalog,-0.0024,0.580216,-0.080216
atong,cebuano,-2.0106,0.174644,0.325356
atop,cebuano,0.6436,0.312973,0.187027
atop,cebuano,0.6436,0.312973,0.187027
atop,cebuano,0.6436,0.312973,0.187027
atorni,tagalog,0.0094,0.581618,-0.081618
atraka,cebuano,Not Found,N/A,N/A
atraksiyon,cebuano,0.0261,0.280791,0.280791
atraksiyon,cebuano,0.0261,0.280791,0.280791
atraksiyon,tagalog,0.2543,0.610711,0.610711
atraksiyun,cebuano,Not Found,N/A,N/A
atraktiba,tagalog,Not Found,N/A,N/A
atraktibo,tagalog,0.1391,0.597025,0.597025
atraktibu,cebuano,Not Found,N/A,N/A
atras,cebuano,Not Found,N/A,N/A
atras,tagalog,0.7246,0.66658,-0.66658
atrasado,tagalog,0.061,0.587748,-0.587748
atrasadu,cebuano,Not Found,N/A,N/A
atrasan,tagalog,0.5844,0.649925,0.649925
atrasar,cebuano,Not Found,N/A,N/A
atrasawu,cebuano,Not Found,N/A,N/A
atraso,tagalog,-0.1538,0.56223,-0.06223
atrasu,cebuano,Not Found,N/A,N/A
atrasuhin,tagalog,Not Found,N/A,N/A
atrebido,tagalog,-0.1345,0.564523,0.564523
atribidu,cebuano,Not Found,N/A,N/A
atribir,cebuano,Not Found,N/A,N/A
atril,cebuano,Not Found,N/A,N/A
atril,cebuano,Not Found,N/A,N/A
atril,tagalog,Not Found,N/A,N/A
atripisyu atripisyun,cebuano,Not Found,N/A,N/A
atropiya,tagalog,Not Found,N/A,N/A
atropya,tagalog,Not Found,N/A,N/A
atrosidad,tagalog,-0.4598,0.525879,-0.525879
atsa,cebuano,0.9732,0.330151,-0.330151
atsa,cebuano,0.9732,0.330151,-0.330151
atsa,cebuano,0.9732,0.330151,-0.330151
atsaatsa,cebuano,Not Found,N/A,N/A
atsal,cebuano,Not Found,N/A,N/A
atsar,cebuano,Not Found,N/A,N/A
atsara,cebuano,Not Found,N/A,N/A
atsara,cebuano,Not Found,N/A,N/A
atsara,tagalog,-0.8593,0.478421,0.021579
atsarahin,tagalog,Not Found,N/A,N/A
atsay,cebuano,Not Found,N/A,N/A
atsi,cebuano,0.9373,0.32828,-0.32828
atsi,cebuano,0.9373,0.32828,-0.32828
atsi,cebuano,0.9373,0.32828,-0.32828
atsi,cebuano,0.9373,0.32828,-0.32828
atsoy,tagalog,Not Found,N/A,N/A
atsuete,tagalog,-0.1605,0.561435,-0.061435
atsuwete,tagalog,-0.4341,0.528932,-0.028932
atsuytis,cebuano,Not Found,N/A,N/A
atswete,tagalog,-0.3916,0.533981,-0.033981
atu,cebuano,1.0184,0.332506,0.167494
atu,cebuano,1.0184,0.332506,0.167494
atu,cebuano,1.0184,0.332506,0.167494
atua,cebuano,0.1174,0.285549,0.214451
atua,cebuano,0.1174,0.285549,0.214451
atua,cebuano,0.1174,0.285549,0.214451
atub,cebuano,Not Found,N/A,N/A
atubang,cebuano,-1.2277,0.215446,0.215446
atubangan,cebuano,-0.9248,0.231233,0.268767
atubangan sa,cebuano,Not Found,N/A,N/A
atubangan sa balay,cebuano,Not Found,N/A,N/A
atubili,tagalog,-0.3024,0.544578,-0.544578
atud,cebuano,Not Found,N/A,N/A
atug,cebuano,Not Found,N/A,N/A
atugatug,cebuano,Not Found,N/A,N/A
atul,cebuano,0.4481,0.302784,0.197216
atuli,cebuano,Not Found,N/A,N/A
atuli,cebuano,Not Found,N/A,N/A
atuli,cebuano,Not Found,N/A,N/A
atum,cebuano,Not Found,N/A,N/A
atumatik,cebuano,Not Found,N/A,N/A
atumika,cebuano,Not Found,N/A,N/A
atung,cebuano,0.6549,0.313562,0.186438
atungal,tagalog,-0.4375,0.528528,-0.028528
atup,cebuano,Not Found,N/A,N/A
atup,cebuano,Not Found,N/A,N/A
atup sa lawak,cebuano,Not Found,N/A,N/A
atupag,tagalog,Not Found,N/A,N/A
atupagin,tagalog,0.6891,0.662362,-0.162362
atupagin mga,tagalog,Not Found,N/A,N/A
atupatup,cebuano,Not Found,N/A,N/A
aturga aturgar,cebuano,Not Found,N/A,N/A
aturni,cebuano,Not Found,N/A,N/A
atutong,cebuano,Not Found,N/A,N/A
atutung,cebuano,Not Found,N/A,N/A
audana,cebuano,Not Found,N/A,N/A
audisyon,tagalog,-0.1785,0.559296,-0.059296
audit,tagalog,0.2456,0.609677,-0.109677
auditibo,tagalog,-0.1032,0.568241,-0.068241
auditin,tagalog,Not Found,N/A,N/A
auditor,tagalog,-0.2227,0.554046,-0.054046
auditoryum,tagalog,0.0474,0.586132,-0.086132
augita,tagalog,Not Found,N/A,N/A
auksilyar,tagalog,-0.0391,0.575856,-0.075856
aumento,tagalog,Not Found,N/A,N/A
aumentuhan,tagalog,Not Found,N/A,N/A
aureola,tagalog,Not Found,N/A,N/A
ausensiya,tagalog,Not Found,N/A,N/A
australia,cebuano,-1.0337,0.225557,0.274443
australia,tagalog,-0.6164,0.507276,-0.007276
australian,tagalog,-0.5222,0.518467,-0.018467
australiana,tagalog,Not Found,N/A,N/A
australiano,cebuano,Not Found,N/A,N/A
australiano,tagalog,-0.7503,0.49137,0.00863
australiano,tagalog,-0.7503,0.49137,0.00863
autentisidad,tagalog,-0.4253,0.529978,-0.029978
auto,tagalog,-2.8088,0.246831,0.253169
autobiyograpiko,tagalog,-0.1728,0.559973,-0.059973
autobiyograpiya,tagalog,-0.1722,0.560045,-0.060045
autograp,tagalog,Not Found,N/A,N/A
autokrasya,tagalog,-0.4431,0.527863,-0.027863
autokrat,tagalog,Not Found,N/A,N/A
autokrata,tagalog,-0.2994,0.544934,-0.544934
autokratik,tagalog,Not Found,N/A,N/A
autokratiko,tagalog,0.0074,0.58138,-0.58138
automatik,tagalog,-0.0579,0.573623,-0.073623
automatiko,tagalog,-0.0671,0.57253,-0.07253
automobil,tagalog,-0.5611,0.513845,-0.013845
autonomia,tagalog,0.057,0.587272,-0.087272
autopsi,tagalog,-0.9207,0.471127,0.028873
autopsiya,tagalog,-1.0209,0.459224,0.040776
autopsiyahin,tagalog,Not Found,N/A,N/A
autor,tagalog,-0.1714,0.56014,-0.06014
autoridad,tagalog,0.3211,0.618646,0.618646
autorisado,tagalog,Not Found,N/A,N/A
autorisahan,tagalog,Not Found,N/A,N/A
autorisahan,tagalog,Not Found,N/A,N/A
autorisasyon,tagalog,-0.46,0.525856,-0.025856
aw aw,cebuano,Not Found,N/A,N/A
awa,cebuano,-0.5818,0.249109,-0.249109
awa,cebuano,-0.5818,0.249109,-0.249109
awa,tagalog,-0.9034,0.473182,0.473182
awaaw,cebuano,0.7857,0.320379,-0.320379
awahi,cebuano,Not Found,N/A,N/A
awahi,cebuano,Not Found,N/A,N/A
awahi,cebuano,Not Found,N/A,N/A
awahi,cebuano,Not Found,N/A,N/A
awak,cebuano,Not Found,N/A,N/A
awak,tagalog,0.3363,0.620452,-0.120452
awak,tagalog,0.3363,0.620452,-0.120452
awan,tagalog,-0.3689,0.536678,-0.036678
awang,cebuano,Not Found,N/A,N/A
awang,tagalog,0.7915,0.674527,-0.674527
awangan,tagalog,Not Found,N/A,N/A
awangawa,tagalog,Not Found,N/A,N/A
awanggan,tagalog,-0.0129,0.578969,-0.078969
awangganin,tagalog,Not Found,N/A,N/A
awangganing tangkas,tagalog,Not Found,N/A,N/A
awanging tubo,tagalog,Not Found,N/A,N/A
awas,cebuano,Not Found,N/A,N/A
awas,tagalog,0.0477,0.586168,-0.086168
awasan,tagalog,-0.0577,0.573647,-0.073647
awasan,tagalog,-0.0577,0.573647,-0.073647
awasanan,cebuano,Not Found,N/A,N/A
awasanan,cebuano,Not Found,N/A,N/A
awasanan sa hugaw,cebuano,Not Found,N/A,N/A
awasin,tagalog,Not Found,N/A,N/A
awasin,tagalog,Not Found,N/A,N/A
awat,cebuano,Not Found,N/A,N/A
awat,cebuano,Not Found,N/A,N/A
awat,tagalog,-0.0311,0.576807,-0.076807
awat,tagalog,-0.0311,0.576807,-0.076807
awat awat,cebuano,Not Found,N/A,N/A
awatan,tagalog,Not Found,N/A,N/A
awatin,tagalog,0.1015,0.592559,-0.092559
awaw,cebuano,Not Found,N/A,N/A
awaw,tagalog,Not Found,N/A,N/A
away,cebuano,1.4084,0.352832,-0.352832
away,cebuano,1.4084,0.352832,-0.352832
away,cebuano,1.4084,0.352832,-0.352832
away,cebuano,1.4084,0.352832,-0.352832
away,cebuano,1.4084,0.352832,-0.352832
away,cebuano,1.4084,0.352832,-0.352832
away,cebuano,1.4084,0.352832,-0.352832
away,cebuano,1.4084,0.352832,-0.352832
away,cebuano,1.4084,0.352832,-0.352832
away,tagalog,1.827,0.797539,-0.797539
awayan,tagalog,0.2819,0.613989,-0.613989
awayin,tagalog,0.2579,0.611138,-0.611138
awdisyion,tagalog,Not Found,N/A,N/A
awdisyun,cebuano,Not Found,N/A,N/A
awdit,tagalog,0.0215,0.583055,-0.083055
awditibo,tagalog,-0.1732,0.559926,-0.059926
awditibu,cebuano,Not Found,N/A,N/A
awditin,tagalog,Not Found,N/A,N/A
awditor,tagalog,-0.2938,0.545599,-0.045599
awditor,tagalog,-0.2938,0.545599,-0.045599
awditoryum,tagalog,0.1207,0.59484,-0.09484
awditur,cebuano,Not Found,N/A,N/A
awdituryum,cebuano,Not Found,N/A,N/A
awgid,cebuano,Not Found,N/A,N/A
awhag,cebuano,-0.0165,0.278571,0.278571
awhag,cebuano,-0.0165,0.278571,0.278571
awhag,cebuano,-0.0165,0.278571,0.278571
awhu,cebuano,Not Found,N/A,N/A
awihaw,cebuano,Not Found,N/A,N/A
awil,cebuano,Not Found,N/A,N/A
awit,cebuano,-0.3358,0.26193,0.23807
awit,cebuano,-0.3358,0.26193,0.23807
awit,cebuano,-0.3358,0.26193,0.23807
awit,cebuano,-0.3358,0.26193,0.23807
awit,cebuano,-0.3358,0.26193,0.23807
awit,cebuano,-0.3358,0.26193,-0.26193
awit,tagalog,1.8722,0.802908,-0.302908
awit ipakatulog,cebuano,Not Found,N/A,N/A
awit na pambansa,tagalog,Not Found,N/A,N/A
awit sa pasko,cebuano,Not Found,N/A,N/A
awitan,tagalog,0.3804,0.62569,-0.12569
awitin,tagalog,0.886,0.685753,-0.185753
awittagurhaay,cebuano,Not Found,N/A,N/A
awla,cebuano,Not Found,N/A,N/A
awrum,tagalog,Not Found,N/A,N/A
awrura,cebuano,Not Found,N/A,N/A
awrura,cebuano,Not Found,N/A,N/A
awstriyanhun,cebuano,Not Found,N/A,N/A
awsud,cebuano,Not Found,N/A,N/A
awtburd,cebuano,Not Found,N/A,N/A
awting,cebuano,Not Found,N/A,N/A
awtlit,cebuano,Not Found,N/A,N/A
awto,cebuano,0.6791,0.314823,0.185177
awto,cebuano,0.6791,0.314823,0.185177
